name,BOOM 2 Wireless Bluetooth Speaker - IndigoCPE,BRAVEN BRV-HD Wireless Bluetooth Speaker [28 Hour Playtime][Water Resistant] Built-In 8800 mAh Power Bank Charger - BlackCPE,Bose® - Soundlink® Color Bluetooth Speaker II - Coral RedCPE,Boytone - 2500W 2.1-Ch. Home Theater System - Black DiamondCPE,Braven BRV-BLADE Wireless Portable Bluetooth Speaker [22 Hour Playtime][Waterproof] 4000 mAh Power Bank Charger - BlackCPE,Chant Mini Portable Bluetooth Wireless Speaker (Navy)CPE,Chant Sport BT Portable Audio System (Black)CPE,Details About Logitech Ue Roll 2 Wireless Portable Bluetooth Waterproof SpeakerCPE,"DreamWave - Tremor Portable Bluetooth Speaker - Green,BlackCPE",ECOXGEAR ECOXBT Rugged and Waterproof Wireless Bluetooth Speaker (Orange)CPE,ECOXGEAR ECOXBT Waterproof Bluetooth SpeakerCPE,"EcoJam Waterproof Bluetooth Speaker, BlackCPE",EcoXGear Ecostone Bluetooth SpeakerCPE,Ecoxgear Ecocarbon Bluetooth Waterproof Speaker (black)CPE,FUGOO - Sport XL Portable Bluetooth Speaker - Black/WhiteCPE,Get Up Stand Bluetooth Home Audio SystemCPE,HMDX Dynamite Portable Splashproof Wireless Speaker (Gray)CPE,Harman Kardon One Portable Bluetooth Speaker BlackCPE,House of MarleyCPE,JBL Clip2 Portable SpeakerCPE,JBL Flip 3 Splashproof Portable Bluetooth Speaker (Teal)CPE,"Monster SuperStar BackFloat High-Definition Bluetooth Speaker, Neon GreenCPE",New OEM Braven LUX Pearl Portable HD Wireless Bluetooth Speaker Power BankCPE,Outdoor Tech Buckshot Pro Bluetooth SpeakerCPE,"Russound - Acclaim 5 Series 6-1/2 Indoor/Outdoor Speaker (Each) - White""CPE",SRS-XB10 Bluetooth Speaker (White)CPE,SRS-XB2 Portable Bluetooth Wireless Speaker (Blue)CPE,SRS-XB2 Portable Bluetooth Wireless Speaker (Red)CPE,SRS-XB40 Bluetooth Speaker (Black)CPE,SRS-XB40 Bluetooth Speaker (Blue)CPE,SiriusXM SXSD2 Portable Speaker Dock Audio System for Dock and Play Radios (Black)CPE,Sony - XB20 Portable Bluetooth Speaker - BlueCPE,Sony - XB7 Extra Bass Audio System with Bluetooth - BlackCPE,Sony SRSHG1/BLK Hi-Res Wireless Speaker- Charcoal blackCPE,Sony SRSXB3/BLK Portable Wireless Speaker with Bluetooth (Black)CPE,Sony Ultra-Portable Bluetooth SpeakerCPE,Tough Portable Bluetooth Speaker (Black and Silver)CPE,h.ear go Wireless Speaker (Lime Yellow)CPE,iHome Rechargeable Splash Proof Stereo Bluetooth Speaker - Black (IBT33BC)CPE,iLive - ISBW216 Wireless Gnome Outdoor Speaker - MultiCPE,iPL24 FM Clock Radio with Lightning Dock and USB Port (Gunmetal)CPE
BOOM 2 Wireless Bluetooth Speaker - Indigo,-2.59,0.11,1.6,-0.58,0.11,1.08,1.08,4.14,1.08,-1.29,0.44,-2.03,-3.43,-1.94,6.76,0.22,0.22,-0.87,-0.09,0.75,1.27,6.76,5.89,-3.08,1.08,2.91,-5.07,-3.21,-1.93,-2.85,0.32,0.76,4.16,-4.14,0.77,-0.87,0.44,-4.6,-1.11,1.08,0.34
BRAVEN BRV-HD Wireless Bluetooth Speaker [28 Hour Playtime][Water Resistant] Built-In 8800 mAh Power Bank Charger - Black,-1.19,-0.53,-1.45,1.02,-0.53,-0.8,-0.8,-2.22,-0.8,-1.28,-1.62,-0.39,-1.77,-1.18,-2.31,-1.36,-1.36,-0.05,-0.15,0.02,1.36,-2.31,-4.31,-0.16,-0.8,-2.24,-0.77,-1.12,-1.79,-1.81,0.06,-2.03,3.43,-0.5,-0.16,-0.94,1.64,-1.23,-0.7,-0.8,1.44
Bose® - Soundlink® Color Bluetooth Speaker II - Coral Red,2.33,-1.12,1.32,1.19,-1.12,0.2,0.2,3.91,0.2,1.37,0.96,0.5,1.54,0.55,4.76,-0.11,-0.11,-0.22,-0.21,0.9,1.84,4.76,2.62,0.29,0.2,0.94,-0.7,1.51,0.68,1.09,2.06,0.69,1.18,-0.58,1.22,2.02,-0.34,-0.4,-0.55,0.2,2.11
Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,0.85,-0.15,0.54,1.01,-0.15,0.97,0.97,0.38,0.97,0.61,-0.08,0.39,0.65,0.38,1.8,0.43,0.43,0.47,1.13,0.89,-0.4,1.8,0.68,0.24,0.97,1.44,0.26,0.14,1.11,1.1,0.97,1.45,4.25,-1.9,0.71,0.03,0.32,-1.91,0.55,0.97,1.03
Braven BRV-BLADE Wireless Portable Bluetooth Speaker [22 Hour Playtime][Waterproof] 4000 mAh Power Bank Charger - Black,-0.8,-0.02,-0.83,0.71,-0.02,-0.54,-0.54,-1.54,-0.54,-0.68,-0.89,-0.21,-1.22,-0.72,-1.59,-0.88,-0.88,-0.02,-0.17,0.02,1.12,-1.59,-2.67,-0.01,-0.54,-1.46,-0.36,-0.58,-1.13,-1.09,0.08,-1.44,1.7,0.06,-0.01,-0.43,1.13,-0.41,-0.5,-0.54,0.98
Chant Mini Portable Bluetooth Wireless Speaker (Navy),0.34,1.05,0.45,1.22,1.05,0.95,0.95,-0.81,0.95,0.86,0.13,0.66,0.25,0.5,0.42,0.4,0.4,0.83,1.36,0.84,0.21,0.42,-0.3,0.74,0.95,1.0,0.92,0.24,1.16,1.28,0.88,0.91,4.68,-1.55,0.9,0.15,1.14,-1.67,0.8,0.95,1.16
Chant Sport BT Portable Audio System (Black),-0.78,6.09,1.91,1.81,6.09,-1.36,-1.36,-1.2,-1.36,2.66,2.72,0.46,-2.21,-0.11,-1.06,-1.62,-1.62,-0.61,-2.04,0.13,7.08,-1.06,1.65,1.39,-1.36,-1.78,1.5,3.23,-0.9,0.27,1.65,-4.16,-10.59,8.26,1.98,4.11,1.04,7.99,-2.39,-1.36,2.7
Details About Logitech Ue Roll 2 Wireless Portable Bluetooth Waterproof Speaker,5.28,-0.96,2.19,1.17,-0.96,2.95,2.95,2.53,2.95,1.26,0.11,1.21,2.63,1.1,6.2,2.32,2.32,1.58,2.9,2.3,-2.08,6.2,2.88,0.6,2.95,4.0,0.43,1.25,3.22,3.15,0.71,3.7,6.26,-0.87,2.41,0.83,-0.42,-0.63,2.22,2.95,0.89
"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",10.77,-6.68,3.75,3.65,-6.68,3.92,3.92,14.78,3.92,5.88,2.3,4.33,10.02,4.95,17.92,3.1,3.1,2.11,3.86,4.32,-0.06,17.92,7.81,3.22,3.92,6.83,0.49,3.96,7.57,8.25,6.37,8.54,20.7,-10.94,3.88,4.99,-0.76,-9.91,2.98,3.92,5.44
ECOXGEAR ECOXBT Rugged and Waterproof Wireless Bluetooth Speaker (Orange),-0.06,-0.65,-0.86,-0.67,-0.65,0.19,0.19,-0.53,0.19,-3.7,-3.94,0.7,1.0,0.77,-1.8,0.67,0.67,0.79,0.82,-0.41,-1.46,-1.8,-2.06,-2.64,0.19,-0.43,0.85,-0.44,0.87,0.66,-0.88,0.67,3.43,-1.93,-0.51,-3.75,0.37,-1.87,1.38,0.19,-1.11
ECOXGEAR ECOXBT Waterproof Bluetooth Speaker,0.59,-1.33,0.8,0.41,-1.33,-0.15,-0.15,2.29,-0.15,-3.78,-3.55,-0.58,0.26,-0.36,2.81,-0.26,-0.26,-0.79,-0.7,0.23,0.49,2.81,2.28,-4.48,-0.15,0.65,-1.48,0.41,-0.53,-0.54,1.09,0.38,-1.88,0.05,0.26,-2.56,-1.12,0.2,-0.86,-0.15,0.84
"EcoJam Waterproof Bluetooth Speaker, Black",-0.07,0.43,0.59,-0.86,0.43,0.11,0.11,-11.37,0.11,0.93,0.21,-3.56,-3.59,-3.15,1.43,-0.04,-0.04,-0.01,-0.49,-0.34,0.83,1.43,2.43,0.39,0.11,1.16,1.07,0.82,0.41,1.21,-0.57,0.68,-4.99,3.35,-0.08,0.68,-1.51,3.48,-0.7,0.11,-1.06
EcoXGear Ecostone Bluetooth Speaker,0.12,-0.66,-0.95,1.39,-0.66,-0.19,-0.19,-3.05,-0.19,-1.49,-0.35,-1.68,-1.63,-2.03,-2.31,0.07,0.07,0.01,0.79,0.54,-1.36,-2.31,-3.92,-0.64,-0.19,-1.87,-1.74,-1.3,-0.66,-1.96,0.91,-1.09,8.03,-5.41,0.14,-1.11,2.43,-5.62,1.14,-0.19,1.71
